Site;Road width (m);Road verge;Traffic.int;Group;Side;Total no. of flowers;Number marked;Same side;Direction;Distance to marked (m);Group code;Insect abundance;Number of flowers;delta.flower;Better side
Vänge;6;SP;562;2C;W;29;10;Y;Y;12;C;0;93;;N
Vänge;6;SP;562;1C;W;29;3;Y;Y;24;C;0;93;;N
Gottröra;6,4;SP;3718;3A;S;30;1;N;X;26,39;A;0;240;-51;Y
Gottröra;6,4;SP;3718;2A;S;28;2;N;X;14,31;A;0;240;-51;Y
Gottröra;6,4;SP;3718;3B;N;40;0;Y;X;25,6;B;0;189;;N
Gottröra;6,4;SP;3718;2B;N;33;1;Y;X;12,8;B;0;189;;N
Gottröra;6,4;SP;3718;2C;N;32;0;Y;Y;12,8;C;0;189;;N
Gottröra;6,4;SP;3718;1C;N;33;0;Y;Y;25,6;C;0;189;;N
Sigtuna;6;SR;6300;3A;N;20;10;N;X;24,74;A;5;789;-622;Y
Sigtuna;6;SR;6300;2A;N;24;2;N;X;13,416;A;5;789;-622;Y
Sigtuna;6;SR;6300;3B;S;24;8;Y;X;24;B;5;167;;N
Sigtuna;6;SR;6300;2B;S;22;16;Y;X;12;B;5;167;;N
Sigtuna;6;SR;6300;2C;S;25;22;Y;Y;12;C;5;167;;N
Sigtuna;6;SR;6300;1C;S;24;15;Y;Y;24;C;5;167;;N
Aspö;6;SR;5675;3A;E;29;0;N;X;24,74;A;9;57;1346;N
Aspö;6;SR;5675;2A;E;35;1;N;X;13,416;A;9;57;1346;N
Aspö;6;SR;5675;3B;W;32;18;Y;X;24;B;9;1403;;Y
Aspö;6;SR;5675;2B;W;27;6;Y;X;12;B;9;1403;;Y
Aspö;6;SR;5675;2C;W;26;1;Y;Y;12;C;9;1403;;Y
Aspö;6;SR;5675;1C;W;32;7;Y;Y;24;C;9;1403;;Y
Strängnäs;6;SP;372;3A;E;28;13;N;X;24,74;A;18;108;-7;Y
Strängnäs;6;SP;372;2A;E;23;7;N;X;13,416;A;18;108;-7;Y
Strängnäs;6;SP;372;3B;W;26;13;Y;X;24;B;18;101;;N
Strängnäs;6;SP;372;2B;W;25;20;Y;X;12;B;18;101;;N
Strängnäs;6;SP;372;2C;W;25;10;Y;Y;12;C;18;101;;N
Strängnäs;6;SP;372;1C;W;26;18;Y;Y;24;C;18;101;;N
Häggeby;6;SR;3312;3A;S;33;0;N;X;24,74;A;4;366;-209;Y
Häggeby;6;SR;3312;2A;S;52;2;N;X;13,416;A;4;366;-209;Y
Häggeby;6;SR;3312;3B;N;35;1;Y;X;24;B;4;157;;N
Häggeby;6;SR;3312;2B;N;45;4;Y;X;12;B;4;157;;N
Häggeby;6;SR;3312;2C;N;50;0;Y;Y;12;C;4;157;;N
Häggeby;6;SR;3312;1C;N;56;0;Y;Y;24;C;4;157;;N
Skärplinge;6;SR;570;3A;W;32;1;N;X;24,74;A;1;926;-314;Y
Skärplinge;6;SR;570;2A;W;28;0;N;X;13,416;A;1;926;-314;Y
Skärplinge;6;SR;570;3B;E;32;0;Y;X;24;B;1;612;;N
Skärplinge;6;SR;570;2B;E;29;3;Y;X;12;B;1;612;;N
Skärplinge;6;SR;570;2C;E;32;0;Y;Y;12;C;1;612;;N
Skärplinge;6;SR;570;1C;E;34;0;Y;Y;24;C;1;612;;N
Tosterön;7;SP;5764;3A;E;26;10;N;X;28,86;A;0;13;91;N
Tosterön;7;SP;5764;2A;E;35;2;N;X;15,652;A;0;13;91;N
Tosterön;7;SP;5764;3B;W;28;7;Y;X;28;B;0;104;;Y
Tosterön;7;SP;5764;2B;W;30;18;Y;X;14;B;0;104;;Y
Tosterön;7;SP;5764;2C;W;30;2;Y;Y;14;C;0;104;;Y
Tosterön;7;SP;5764;1C;W;40;0;Y;Y;28;C;0;104;;Y
Skutskär;6;SR;930;3A;W;28;1;N;X;24,74;A;0;115;358;N
Skutskär;6;SR;930;2A;W;22;2;N;X;13,416;A;0;115;358;N
Skutskär;6;SR;930;3B;E;31;0;Y;X;24;B;0;473;;Y
Skutskär;6;SR;930;2B;E;31;7;Y;X;12;B;0;473;;Y
Skutskär;6;SR;930;2C;E;37;2;Y;Y;12;C;0;473;;Y
Skutskär;6;SR;930;1C;E;30;0;Y;Y;24;C;0;473;;Y
Knutby;6;SR;373;3A;W;29;5;N;X;24,74;A;2;1172;-119;Y
Knutby;6;SR;373;2A;W;28;1;N;X;13,416;A;2;1172;-119;Y
Knutby;6;SR;373;3B;E;30;2;Y;X;24;B;2;1053;;N
Knutby;6;SR;373;2B;E;30;2;Y;X;12;B;2;1053;;N
Knutby;6;SR;373;2C;E;32;0;Y;Y;12;C;2;1053;;N
Knutby;6;SR;373;1C;E;31;1;Y;Y;24;C;2;1053;;N
Östhammar;6;SP;1662;3A;W;35;1;N;X;24,74;A;1;535;-276;Y
Östhammar;6;SP;1662;2A;W;33;2;N;X;13,416;A;1;535;-276;Y
Östhammar;6;SP;1662;3B;E;31;19;Y;X;24;B;1;259;;N
Östhammar;6;SP;1662;2B;E;33;27;Y;X;12;B;1;259;;N
Östhammar;6;SP;1662;2C;E;35;24;Y;Y;12;C;1;259;;N
Östhammar;6;SP;1662;1C;E;30;0;Y;Y;24;C;1;259;;N
Enköping;6;SP;841;3A;E;27;3;N;X;24,74;A;2;402;-279;Y
Enköping;6;SP;841;2A;E;30;4;N;X;13,416;A;2;402;-279;Y
Enköping;6;SP;841;3B;W;30;1;Y;X;24;B;2;123;;N
Enköping;6;SP;841;2B;W;35;8;Y;X;12;B;2;123;;N
Enköping;6;SP;841;2C;W;31;9;Y;Y;12;C;2;123;;N
Enköping;6;SP;841;1C;W;30;0;Y;Y;24;C;2;123;;N
Skogstibble;6;SP;158;3A;S;26;0;N;X;24,74;A;2;413;-277;Y
Skogstibble;6;SP;158;2A;S;32;6;N;X;13,416;A;2;413;-277;Y
Skogstibble;6;SP;158;3B;N;22;2;Y;X;24;B;2;136;;N
Skogstibble;6;SP;158;2B;N;33;19;Y;X;12;B;2;136;;N
Skogstibble;6;SP;158;2C;N;29;1;Y;Y;12;C;2;136;;N
Skogstibble;6;SP;158;1C;N;33;1;Y;Y;24;C;2;136;;N
Rovsättra;5,7;SR;267;3A;E;34;2;N;X;23,5;A;6;628;-153;Y
Rovsättra;5,7;SR;267;2A;E;29;3;N;X;12,746;A;6;628;-153;Y
Rovsättra;5,7;SR;267;3B;W;33;3;Y;X;22,8;B;6;475;;N
Rovsättra;5,7;SR;267;2B;W;30;19;Y;X;11,4;B;6;475;;N
Rovsättra;5,7;SR;267;2C;W;36;8;Y;Y;11,4;C;6;475;;N
Rovsättra;5,7;SR;267;1C;W;34;3;Y;Y;22,8;C;6;475;;N
Upplands-Väsby;6;SP;6168;3A;E;24;13;N;X;24,74;A;3;244;-148;Y
Upplands-Väsby;6;SP;6168;2A;E;27;6;N;X;13,416;A;3;244;-148;Y
Upplands-Väsby;6;SP;6168;3B;W;27;3;Y;X;24;B;3;96;;N
Upplands-Väsby;6;SP;6168;2B;W;27;3;Y;X;12;B;3;96;;N
Upplands-Väsby;6;SP;6168;2C;W;28;2;Y;Y;12;C;3;96;;N
Upplands-Väsby;6;SP;6168;1C;W;22;0;Y;Y;24;C;3;96;;N
Rimbo;6;SP;939;3A;N;52;0;N;X;24,74;A;2;695;-588;Y
Rimbo;6;SP;939;2A;N;42;6;N;X;13,416;A;2;695;-588;Y
Rimbo;6;SP;939;3B;S;27;1;Y;X;24;B;2;107;;N
Rimbo;6;SP;939;2B;S;48;4;Y;X;12;B;2;107;;N
Rimbo;6;SP;939;2C;S;50;18;Y;Y;12;C;2;107;;N
Rimbo;6;SP;939;1C;S;57;3;Y;Y;24;C;2;107;;N
Björklinge;6,2;SP;247;3A;N;39;1;N;X;25,563;A;1;183;52;Y
Björklinge;6,2;SP;247;2A;N;34;2;N;X;13,864;A;1;183;52;Y
Björklinge;6,2;SP;247;3B;S;33;10;Y;X;24,8;B;1;131;;N
Björklinge;6,2;SP;247;2B;S;47;13;Y;X;12,4;B;1;131;;N
Björklinge;6,2;SP;247;2C;S;18;6;Y;Y;12,4;C;1;131;;N
Björklinge;6,2;SP;247;1C;S;31;1;Y;Y;24,8;C;1;131;;N
