Site;Road.width..m.;Road.verge;traffic;Group;Side;trials;successes;Same.side;Direction;Distance.to.marked..m.;Group.code;insects;flower.dens;delta.flower;Better.side;site.width
Gottröra;6,4;SP;3718;3A;S;30;1;N;X;26,39;A;0;240;-51;Y;4,4
Gottröra;6,4;SP;3718;2A;S;28;2;N;X;14,31;A;0;240;-51;Y;4,4
Gottröra;6,4;SP;3718;3B;N;40;0;Y;X;25,6;B;0;189;NA;N;4,4
Gottröra;6,4;SP;3718;2B;N;33;1;Y;X;12,8;B;0;189;NA;N;4,4
Gottröra;6,4;SP;3718;2C;N;32;0;Y;Y;12,8;C;0;189;NA;N;4,4
Gottröra;6,4;SP;3718;1C;N;33;0;Y;Y;25,6;C;0;189;NA;N;4,4
Sigtuna;6;SR;6300;3A;N;20;10;N;X;24,74;A;5;789;-622;Y;5,231
Sigtuna;6;SR;6300;2A;N;24;2;N;X;13,416;A;5;789;-622;Y;5,231
Sigtuna;6;SR;6300;3B;S;24;8;Y;X;24;B;5;167;NA;N;5,231
Sigtuna;6;SR;6300;2B;S;22;16;Y;X;12;B;5;167;NA;N;5,231
Sigtuna;6;SR;6300;2C;S;25;22;Y;Y;12;C;5;167;NA;N;5,231
Sigtuna;6;SR;6300;1C;S;24;15;Y;Y;24;C;5;167;NA;N;5,231
Aspö;6;SR;5675;3A;E;29;0;N;X;24,74;A;9;57;1346;N;5,38
Aspö;6;SR;5675;2A;E;35;1;N;X;13,416;A;9;57;1346;N;5,38
Aspö;6;SR;5675;3B;W;32;18;Y;X;24;B;9;1403;NA;Y;5,38
Aspö;6;SR;5675;2B;W;27;6;Y;X;12;B;9;1403;NA;Y;5,38
Aspö;6;SR;5675;2C;W;26;1;Y;Y;12;C;9;1403;NA;Y;5,38
Aspö;6;SR;5675;1C;W;32;7;Y;Y;24;C;9;1403;NA;Y;5,38
Strängnäs;6;SP;372;3A;E;28;13;N;X;24,74;A;18;108;-7;Y;4,43
Strängnäs;6;SP;372;2A;E;23;7;N;X;13,416;A;18;108;-7;Y;4,43
Strängnäs;6;SP;372;3B;W;26;13;Y;X;24;B;18;101;NA;N;4,43
Strängnäs;6;SP;372;2B;W;25;20;Y;X;12;B;18;101;NA;N;4,43
Strängnäs;6;SP;372;2C;W;25;10;Y;Y;12;C;18;101;NA;N;4,43
Strängnäs;6;SP;372;1C;W;26;18;Y;Y;24;C;18;101;NA;N;4,43
Häggeby;6;SR;3312;3A;S;33;0;N;X;24,74;A;4;366;-209;Y;4,665
Häggeby;6;SR;3312;2A;S;52;2;N;X;13,416;A;4;366;-209;Y;4,665
Häggeby;6;SR;3312;3B;N;35;1;Y;X;24;B;4;157;NA;N;4,665
Häggeby;6;SR;3312;2B;N;45;4;Y;X;12;B;4;157;NA;N;4,665
Häggeby;6;SR;3312;2C;N;50;0;Y;Y;12;C;4;157;NA;N;4,665
Häggeby;6;SR;3312;1C;N;56;0;Y;Y;24;C;4;157;NA;N;4,665
Skärplinge;6;SR;570;3A;W;32;1;N;X;24,74;A;1;926;-314;Y;3,8
Skärplinge;6;SR;570;2A;W;28;0;N;X;13,416;A;1;926;-314;Y;3,8
Skärplinge;6;SR;570;3B;E;32;0;Y;X;24;B;1;612;NA;N;3,8
Skärplinge;6;SR;570;2B;E;29;3;Y;X;12;B;1;612;NA;N;3,8
Skärplinge;6;SR;570;2C;E;32;0;Y;Y;12;C;1;612;NA;N;3,8
Skärplinge;6;SR;570;1C;E;34;0;Y;Y;24;C;1;612;NA;N;3,8
Tosterön;7;SP;5764;3A;E;26;10;N;X;28,86;A;0;13;91;N;4,07
Tosterön;7;SP;5764;2A;E;35;2;N;X;15,652;A;0;13;91;N;4,07
Tosterön;7;SP;5764;3B;W;28;7;Y;X;28;B;0;104;NA;Y;4,07
Tosterön;7;SP;5764;2B;W;30;18;Y;X;14;B;0;104;NA;Y;4,07
